cpf,nome,data_nascimento,score,limite_atual
52998224725,Maria Helena Santos,1990-05-15,291,15000.00
71893456209,João Pedro Oliveira,1985-03-22,620,8000.00
89156734502,Ana Carolina Lima,1992-11-08,850,25000.00
34567891234,Carlos Eduardo Souza,1978-07-30,450,3000.00
45678912345,Beatriz Ferreira Costa,1995-01-12,320,1000.00
56789123456,Roberto Almeida Junior,1982-09-25,580,5000.00
67891234567,Fernanda Rodrigues Silva,1988-04-18,720,15000.00
78912345678,Lucas Gabriel Martins,1993-12-03,680,8000.00
89123456789,Patricia Souza Nascimento,1976-06-14,920,50000.00
91234567890,Ricardo Santos Pereira,1991-08-27,410,3000.00
12398745632,Camila Oliveira Ramos,1987-02-09,550,5000.00
23498756143,Marcos Vinicius Costa,1994-10-21,780,15000.00
34598761254,Juliana Alves Barbosa,1983-05-30,290,500.00
45698712365,Thiago Henrique Dias,1996-07-16,650,8000.00
56798123476,Amanda Cristina Moraes,1989-03-11,820,25000.00
67898234587,Felipe Augusto Ribeiro,1981-11-28,380,1000.00
78998345698,Larissa Mendes Cardoso,1997-09-05,710,15000.00
89098456709,Bruno Leonardo Teixeira,1984-01-23,590,5000.00
90198567810,Isabela Fernandes Gomes,1990-12-07,480,3000.00
10298678921,Daniel Carvalho Pinto,1986-04-02,870,25000.00
